model,MAE,RMSE,MAPE,WAPE
rf,1395.6573187120546,2930.2597326308396,0.8878604028462662,
xgb,1417.0045166015625,2930.0022184291943,0.34968844056129456,0.08947721123695374
lstm,1974.337158203125,4488.09423828125,3.0057625770568848,0.12426882982254028
transformer_embed,1902.65185546875,4000.3466796875,1.654937744140625,0.1197568029165268
